year,airtemp
1984,9.94444
1985,9.2222
1986,10.7222
1987,11.05556
1988,10.44444
1989,10.27777778
1990,10.44444444
1991,10.5
1992,11.33333333
1993,10.16666667
1994,10.77777778
1995,11.11111111
1996,10.05555556
1997,10.94444444
1998,11.16666667
1999,10.27777778
2000,10.22222222
2001,10.16666667
2002,10.38888889
2003,11.05555556
2004,11.38888889
2005,10.88888889
2006,10.72222222
2007,10.27777778
2008,9.833333333
2009,10.22222222
2010,10.66666667
2011,9.666666667
2012,10.27777778
2013,10.5
2014,11.38888889
2015,11.88888889
2016,11.44444444
