year,crab
1984,175.7430459
1985,232.7278045
1986,205.334514
1987,208.4848272
1988,272.8157582
1989,271.7724411
1990,260.9593337
1991,184.8260763
1992,252.4192936
1993,263.4526613
1994,321.0397397
1995,370.1445481
1996,243.9103751
1997,315.3411502
1998,220.9241829
1999,217.6879252
2000,289.134602
2001,422.3290057
2002,297.0287997
2003,327.9508394
2004,246.8812486
2005,290.6716171
2006,345.4094449
2007,292.9148457
2008,287.2765309
2009,334.4762723
2010,264.7676008
2011,301.4549702
2012,248.4852446
2013,282.3629304
2014,341.8667625
2015,395.9311899
2016,419.3771729
