year,sst_jan_mar ,sst_apr_jun,sst_jul_sep
1984,7.94,9.717,11.227
1985,6.983,9.483,11.343
1986,7.27,9.66,11.223
1987,7.997,9.827,11.287
1988,7.523,9.603,11.033
1989,6.57,9.527,11.213
1990,8.047,9.95,12.067
1991,7.637,9.333,11.053
1992,8.55,10.19,11.2
1993,7.06,9.777,11.09
1994,8.04,10.02,11.527
1995,8.587,10.213,11.597
1996,8.2,9.897,11.2
1997,7.933,10.117,11.897
1998,9.267,10.617,12.077
1999,8.013,9.657,11.533
2000,7.837,10.117,11.503
2001,7.92,9.743,11.38
2002,7.937,9.6,11.473
2003,8.717,10.077,11.43
2004,8.04,10.223,11.713
2005,8.2,10.47,11.787
2006,8.503,9.9,11.747
2007,7.827,9.723,11.307
2008,7.49,9.067,11.1
2009,7.317,9.427,11.66
2010,8.64,9.59,11.39
2011,7.677,9.4,11.103
2012,7.423,9.437,10.76
2013,7.46,9.013,10.79
2014,7.593,9.607,11.117
2015,8.903,10.15,11.833
2016,8.757,10.36,12.21
